社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
-,天満宮（佐賀市大和町池上楢田）,てんまんぐう,佐賀県佐賀市大和町池上楢田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1120/
-,天満宮（佐賀市大和町池上）,てんまんぐう,佐賀県佐賀市大和町池上,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1121/
-,天満宮（佐賀市川副町小々森久町）,てんまんぐう,佐賀県佐賀市嘉瀬町十五,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1122/
-,天満宮（佐賀市大和町東山田）,てんまんぐう,佐賀県佐賀市大和町東山田上戸田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1123/
-,天満宮（佐賀市川副町）,てんまんぐう,佐賀県佐賀市川副町鹿江505,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1124/
-,天満宮（佐賀市鍋島町森田）,てんまんぐう,佐賀県佐賀市鍋島町森田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1125/
-,太郎次郎社,たろうじろうしゃ,佐賀県佐賀市久保田町徳万町西,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1116/
-,織島神社,おりしまじんじゃ,佐賀県小城市三日月町織島東分,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1077/
式内社（名神大）・国幣中社・別表神社,田島神社,たじまじんじゃ,佐賀県唐津市呼子町加部島3965,0955-82-3347,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/575/
県社,堤雄神社,つつみおじんじゃ,佐賀県杵島郡江北町佐留志2630,0952-86-3348,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1049/
-,祇園宮,ぎおんぐう,佐賀県三養基郡みやき町簑原,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1059/
郷社,新庄八幡神社,しんじょうはちまんしゃ,佐賀県佐賀市鍋島町森田2028,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1112/
内務大臣指定護国神社・別表神社,佐賀縣護國神社,さがけんごこくじんじゃ,佐賀県佐賀市川原町8-15,0952-23-3593,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/384/
別格官幣社・別表神社,佐嘉神社,さがじんじゃ,佐賀県佐賀市松原2-10-43,0952-24-9195,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/435/
旧県社・別表神社,祐徳稲荷神社,ゆうとくいなりじんじゃ,佐賀県鹿島市古枝,0954-62-2151,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/105/
-,八坂神社・粟嶋神社,やさかじんじゃ・あわしまじんじゃ,佐賀県佐賀市北川副町新郷787,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1144/
村社,八幡神社（佐賀市嘉瀬町）,はちまんじんじゃ,佐賀県佐賀市嘉瀬町中原93,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1090/
-,八幡宮（佐賀市久保泉町）,はちまんぐう,佐賀県佐賀市久保泉町下和泉,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1091/
村社,八幡神社（佐賀市東与賀町）,はちまんじんじゃ,佐賀県佐賀市東与賀町飯盛下飯盛,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1092/
-,日子神社（佐賀市）,ひこじんじゃ,佐賀県佐賀市西与賀町相応津1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1099/
-,平尾天満宮,ひらおてんまんぐう,佐賀県佐賀市巨勢町修理田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1100/
郷社,綾部八幡神社,あやべはちまんじんじゃ,佐賀県三養基郡みやき町大字原古賀2338,0942-94-4159,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1028/
-,伊勢神社,いせじんじゃ,佐賀県佐賀市伊勢町9 - 8,0952-23-4221,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1029/
県社,伊萬里神社,いまりじんじゃ,佐賀県伊万里市立花町83,0955-23-2093,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1030/
県社,稲佐神社,いなさじんじゃ,佐賀県杵島郡白石町大字辺田2925,0954-65-2177,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1031/
-,櫛田宮,くしだぐう,佐賀県神埼市神埼町神埼419番地1,0952-52-3016,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1032/
-,若宮神社（神埼市）,わかみやじんじゃ,佐賀県神埼市千代田町境原851-1,0952-44-5552,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1042/
-,鰐神社/(王仁神社),わにじんじゃ,佐賀県神埼市神崎町志波屋,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1043/
-,琴路神社,きんろじんじゃ,佐賀県鹿島市大字納富分1939 - 1,0954-62-3867,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1044/
-,松陰神社,まつかげじんじゃ,佐賀県鹿島市高津原460,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1046/
村社,住吉神社（佐賀市）,すみよしじんじゃ,佐賀県佐賀市東与賀町田中五本杉1666-4,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1114/
-,天子社,てんししゃ,佐賀県杵島郡江北町上小田3981,0952-86-2291,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1048/
郷社,大町八幡神社,おおまちはちまんじんじゃ,佐賀県杵島郡大町大町5691,0952-82-3023,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1050/
-,英彦山神社,ひこさんじんじゃ,佐賀県杵島郡白石町横手,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1051/
-,海童神社（佐賀県杵島郡）,かいどうじんじゃ,佐賀県杵島郡白石町深浦856-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1052/
-,妻山神社,つまやまじんじゃ,佐賀県杵島郡白石町馬洗2409,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1053/
-,八幡宮（佐賀市東与賀町久池井）,はちまんぐう,佐賀県佐賀市大和町大字久池井,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1097/
-,八竜大明神,はちりゅうだいみょうじん,佐賀県佐賀市大和町大字池上,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1098/
郷社,日吉神社（佐賀県小城市）,ひよしじんじゃ,佐賀県小城市三日月町長神田高田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1072/
-,鏡神社（小城市）,かがみじんじゃ,佐賀県小城市小城町池上484,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1073/
-,岩蔵天山神社,いわくらてんざんじんじゃ,佐賀県小城市小城町岩蔵2348,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1084/
-,宇佐神社,うさじんじゃ,佐賀県小城市三日月町道辺,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1085/
-,牛尾神社,うしのおじんじゃ,佐賀県小城市小城町池上,0952-72-5455,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1086/
-,有重神社,ありしげじんじゃ,佐賀県佐賀市嘉瀬町中原,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1087/
-,祇園社,ぎおんしゃ,佐賀県佐賀市久保田町久保田,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1088/
-,八幡宮（佐賀市東与賀町田中）,はちまんぐう,佐賀県佐賀市東与賀町田中,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1089/
-,佐渡宮,さどぐう,佐賀県三養基郡上峰町坊所,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1055/
-,乙宮神社（佐賀県三養基郡）,おとみやじんじゃ,佐賀県三養基郡上峰町坊所,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1054/
-,天満宮（佐賀県三養基郡）,てんまんぐう,佐賀県三養基郡上峰町堤,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1056/
-,宇佐八幡宮,うさはちまんぐう,佐賀県三養基郡上峰町坊所,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1057/
-,祇園神社,ぎおんじんじゃ,佐賀県三養基郡みやき町原古賀,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1058/
-,八大龍王社,はちだいりゅうおうしゃ,佐賀県三養基郡みやき町東尾,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1060/
村社,宝満神社,ほうまんじんじゃ,佐賀県三養基郡みやき町中津隈3792,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1062/
-,西乃宮八幡宮,にしのみややちまんぐう,佐賀県三養基郡みやき町西島298,0942-96-3374,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1063/
村社,白石神社,しらいしじんじゃ,佐賀県三養基郡みやき町白壁3955,0942-89-3509,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1064/
-,宇佐八幡宮,うさはちまんぐう,佐賀県三養基郡みやき町東津1292,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1065/
-,松原神社,まつばらじんじゃ,佐賀県佐賀市松原2-10-43,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1104/
-,満穴天満宮,みつあなてんまんぐう,佐賀県佐賀市本庄町末次867,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1105/
-,日天神社,にってんじんじゃ,佐賀県佐賀市材木1-5-14,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1106/
-,太田神社,おおたじんじゃ,佐賀県佐賀市諸富町大堂1632,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1107/
-,龍王宮,りゅうおうぐう,佐賀県佐賀市川副町小々森718,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1108/
-,四面神社,しめんじんじゃ,佐賀県佐賀市嘉瀬町中原2044,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1109/
-,白鬚神社（佐賀市久保泉町）,しらひげじんじゃ,佐賀県佐賀市久保泉町上和泉1354,0952-98-0164,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1110/
-,白鬚神社（佐賀市久保泉町下和泉）,しらひげじんじゃ,佐賀県佐賀市久保泉町下和泉2689,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1111/
-,管原天満宮,すがわらてんまんぐう,佐賀県佐賀市本庄町鹿子179,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1113/
-,貴船神社（佐賀県武雄市）,きふねじんじゃ,佐賀県武雄市東川登町袴野10096,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1157/
村社,淀姫神社（佐賀市富士町）,よどひめじんじゃ,佐賀県佐賀市富士町大字古湯９６１,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1208/
-,鏡神社 (唐津市),かがみじんじゃ,佐賀県唐津市鏡1827,0955-77-3151,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1209/
県社、式内小社,荒穂神社,あらほじんじゃ,佐賀県三養基郡基山町宮浦字宮脇2050,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1210/
旧県社,唐津神社,からつじんじゃ,佐賀県唐津市南城内3-13,0955-72-2264,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1211/
旧村社,陶山神社 (有田町),すえやまじんじゃ,佐賀県西松浦郡有田町大樽2丁目5-1,0955-42-3310,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1212/
村社,白鬚神社 (佐賀市),しらひげじんじゃ,佐賀市久保泉町大字川久保3466,0952-98-0164,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/hokkaido/saga/1213/
-,愛宕神社（唐津市）,あたごじんじゃ,佐賀県唐津市呼子町大字呼子4177,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1214/
肥前国一宮・国幣小社・別表神社,千栗八幡宮,ちりくはちまんぐう,佐賀県三養基郡みやき町大字白壁字千栗,0942-89-5566,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/793/
肥前国一宮・県社,與止日女神社,よどひめじんじゃ,佐賀県佐賀市大和町大字川上1,0952-62-5705,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1218/
-,老松神社（鳥栖市古賀町）,おいまつじんじゃ,佐賀県鳥栖市古賀町639,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1198/
-,晴気天山神社,はるけてんざんじんじゃ,佐賀県小城市小城町晴気３５６３,0952-73-2826,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1199/
-,掘江神社,ほりえじんじゃ,佐賀県佐賀市神野西2-2 - 8,0952-30-6219,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1201/
-,金刀比羅神社（佐賀市）,ことひらじんじゃ,佐賀県佐賀市金立町大字金立大門3349,0952-98-1237,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1202/
-,金立神社,きんりゅうじんじゃ,佐賀県佐賀市金立町大字金立2467,0952-98-1409,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1203/
-,熊野原神社,くまのはらじんじゃ,佐賀県唐津市西寺町1371 - 1,0955-72-8895,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1204/
-,玉島神社,たましまじんじゃ,佐賀県唐津市浜玉町南山1920,0955-70-5824,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1205/
-,龍造寺八幡宮,りゅうぞうじはちまんぐう,佐賀県佐賀市白山１丁目３−２,0952-23-6049,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1206/
-,平尾天満宮,ひらおてんまんぐう,佐賀県佐賀市高木瀬町大字長瀬2510番地,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1207/
県社,與賀神社,よかじんじゃ,佐賀県佐賀市与賀町２-５０,0952-23-6091,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1216/
-,天満宮（佐賀市大和町久留間）,てんまんぐう,佐賀県佐賀市大和町大字久留間,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1136/
-,若宮八幡神社（佐賀市）,わかみやはちまんじんじゃ,佐賀県佐賀市金立町金立1055,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1137/
-,若宮社（佐賀市西与賀町）,わかみやしゃ,佐賀県佐賀市西与賀町今津上,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1138/
-,若宮社（佐賀市嘉瀬町）,わかみやしゃ,佐賀県佐賀市嘉瀬町扇町,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1139/
-,若宮社（佐賀市西与賀町）,わかみやしゃ,佐賀県佐賀市西与賀町厘外1619,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1140/
-,若宮社（佐賀市東与賀町）,わかみやしゃ,佐賀県佐賀市東与賀町下古賀二本黒木744-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1141/
-,若宮神社（佐賀市久保田町）,わかみやじんじゃ,佐賀県佐賀市久保田町徳万,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1142/
-,若宮社（佐賀市大和町）,わかみやしゃ,佐賀県佐賀市大和町東山田2292,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1143/
-,八坂神社（佐賀市蓮池町）,やさかじんじゃ,佐賀県佐賀市蓮池町蓮池217,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1145/
-,淀姫神社（佐賀市川副町）,よどひめじんじゃ,佐賀県佐賀市川副町福富69,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1147/
-,八幡神社（佐賀県多久市）,はちまんじんじゃ,佐賀県多久市東多久町別府5316,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1169/
-,織島神社,おりしまじんじゃ,佐賀県小城市三日月町織島東分,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1077/
無格社,栗山神社,くりやまじんじゃ,佐賀県多久市多久町335,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1171/
村社,中尾神社,なかおじんじゃ,佐賀県多久市北多久町多久原2750,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1172/
-,高松神社,たかまつじんじゃ,佐賀県多久市多久町多久2293-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1173/
-,高野神社,たかのじんじゃ,佐賀県多久市南多久町下多久2511,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1174/
-,多久神社,たくじんじゃ,佐賀県多久市多久町西ノ原1970,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1175/
-,四阿屋神社,あずまやじんじゃ,佐賀県鳥栖市牛原町河内1440-1,0942-85-0720,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1176/
-,船底宮,ふなぞこぐう,佐賀県鳥栖市宿町1266,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1177/
-,八幡神社（佐賀県）,はちまんじんじゃ,佐賀県鳥栖市村田町749,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1178/
-,庭木神社,にわきじんじゃ,佐賀県武雄市西川登町神六20594,0954-28-2662,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1159/
-,大崎八幡宮,おおさきはちまんぐう,佐賀県武雄市北方町大崎,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1160/
-,素鵞神社,すがじんじゃ,佐賀県武雄市武雄町富岡小楠,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1161/
-,正一位神社,しょういちじんじゃ,佐賀県武雄市東川登町袴野,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1162/
-,武雄神社,たけおじんじゃ,佐賀県武雄市武雄町武雄5335,0954-22-2976,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1163/
-,富岡天満宮,とみおかてんまんぐう,佐賀県武雄市武雄町富岡,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1164/
-,内田天神社,うちだてんじんじゃ,佐賀県武雄市東川登町永野,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1165/
-,上滝八幡神社,わたきはちまんじんじゃ,佐賀県武雄市朝日町甘久,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1166/
-,姫淀神社（佐賀県武雄市）,よどひめじんじゃ,佐賀県武雄市朝日町中野川上,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1167/
-,両子神社,ふたごじんじゃ,佐賀県多久市東多久町納所2746,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1168/
-,与賀神社,よがじんじゃ,佐賀県佐賀市与賀町2-50,0952-23-6091,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1148/
-,寄人天満宮,よりとてんまんぐう,佐賀県佐賀市高木瀬東5-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1149/
-,甘久神社,あまぐじんじゃ,佐賀県武雄市朝日町甘久,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1150/
-,稲主神社,いなぬしじんじゃ,佐賀県武雄市北方町志久木ノ元,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1152/
-,羽根木神社,はねぎじんじゃ,佐賀県武雄市東川登町永野3557,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1151/
-,磐井八幡宮,いわいはちまんぐう,佐賀県武雄市朝日町中野5483,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1153/
-,神六鎮守神社,じんろくちんじゅじんじゃ,佐賀県武雄市西川登町神六27053番1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1154/
-,海童神社（佐賀県武雄市）,かいどうじんじゃ,佐賀県武雄市北方町志久焼米,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1155/
-,川良天満宮,かわらてんまんぐう,佐賀県武雄市武雄町富岡川良,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/saga/1156/
