社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
-,海神社,うみじんじゃ,福岡県福岡市早良区西油山236,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2865/
-,沖浜恵比須神社,おきはなえびすじんじゃ,福岡県福岡市博多区下呉服町15,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2953/
-,天神社,てんじんじゃ,福岡県福岡市城南区片江3-8,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2871/
-,猿田彦神社,さるたひこじんじゃ,福岡県福岡市早良区藤崎1-1-41,092-821-2049,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2867/
-,老松神社（福岡市城南区）,おいまつじんじゃ,福岡県福岡市城南区神松寺1-4-9,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2868/
-,八幡宮,はちまんぐう,福岡県福岡市城南区堤1-20,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2869/
-,荒江櫛田神社,あらえくしだじんじゃ,福岡県福岡市城南区荒江1-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2872/
県社,菊池神社,きくちじんじゃ,福岡県福岡市城南区七隈7-10,092-871-7075,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2874/
県社・別表神社,宮地嶽神社,みやじだけじんじゃ,福岡県福津市宮司元町7-1,0940-52-0016,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/928/
-,老松神社（福岡市南区鶴田）,おいまつじんじゃ,福岡県福岡市南区鶴田3-2-3,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3026/
式内社（名神大）・官幣大社・別表神社,宗像大社（中津宮）,むなかたたいしゃ（なかつみや）,福岡県宗像市大島1811,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/862/
県社,北野天満宮 (久留米市),きたのてんまんぐう,福岡県久留米市北野町中3267,0942-78-2140,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/702/
村社,細石神社,さざれいしじんじゃ,福岡県糸島市三雲432,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/443/
村社,戸明神社,とあけじんじゃ,福岡県北九州市若松区蜑住866番地,093-741-1105,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/708/
-,綱敷天満宮 (福岡市),つなしきてんまんぐう,福岡市博多区綱場町5-7,092-291-3308,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/701/
村社,劔神社 (直方市),つるぎじんじゃ,福岡県直方市下新入2565,0949-22-2682,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/616/
郷社,櫛原天満宮,くしはらてんまんぐう,福岡県久留米市東櫛原町1324番地,0942-80-8000,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/703/
-,白木神社,しらきじんじゃ,福岡県糸島市王丸410,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2784/
-,老松神社（春日市桜ヶ丘）,おいまつじんじゃ,福岡県春日市桜ヶ丘6-98,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2797/
郷社,恵蘇八幡宮,えそはちまんぐう,福岡県朝倉市山田166,0946-52-0557,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2783/
-,徳満宮,とくみつぐう,福岡県糸島市高祖1582,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2785/
-,天神社,てんじんじゃ,福岡県糸島市高祖1810,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2786/
-,須賀神社（福岡県糸島市）,すがじんじゃ,福岡県糸島市西堂819,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2787/
-,住吉神社,すみよしじんじゃ,福岡県糸島市井原1321,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2788/
県社,高祖神社,たかすじんじゃ,福岡県糸島市高祖1578,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2789/
-,幸神社,さやじんじゃ,福岡県糸島市高祖281,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2790/
-,熊野神社,くまのじんじゃ,福岡県糸島市川原916,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2791/
-,八幡宮,はちまんぐう,福岡県糟屋郡粕屋町阿恵288,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2803/
式内社（名神大）・筑前国一宮・官幣大社・別表神社,筥崎宮,はこざきぐう,福岡県福岡市東区箱崎1-22-1,092-641-7431,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/800/
式内社（名神大）・筑後国一宮・国幣大社・別表神社,高良大社,こうらたいしゃ,福岡県久留米市御井町1番地,0942-43-4893,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/341/
官幣中社・別表神社,英彦山神宮,ひこさんじんぐう,福岡県田川郡添田町英彦山1,0947-85-0001,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/836/
-,飛来神社,ひらいじんじゃ,福岡県福岡市西区飯氏944-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2900/
-,飯盛神社中宮社,いいもりじんじゃなかみじんじゃ,福岡県福岡市西区飯盛776,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2901/
-,飯盛神社,いいもりじんじゃ,福岡県福岡市西区飯盛609,092-811-1329,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2902/
-,八大龍王神社,はちだいりゅうおうじんじゃ,福岡県福岡市西区今津4,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2903/
-,八雲神社,やくもじんじゃ,福岡県福岡市西区今宿上ノ原416,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2904/
-,二宮神社,にのみやじんじゃ,福岡県福岡市西区今宿1-10-32,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2906/
-,二宮神社,にのみやじんじゃ,福岡県福岡市西区下山門3-16-7,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2905/
村社,登志神社,としじんじゃ,福岡県福岡市西区今津1570,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2907/
-,天満宮,てんまんぐう,福岡県福岡市西区野方1-4-31,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2908/
-,天神社,てんじんじゃ,福岡県福岡市西区金武715,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2909/
-,諏訪神社,すわじんじゃ,福岡県福岡市早良区原6-20-24,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2853/
-,埴安神社,はにやすじんじゃ,福岡県福岡市早良区南庄3-29-12,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2854/
-,埴安神社,はにやすじんじゃ,福岡県福岡市早良区次郎丸5-4-41,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2855/
-,松山稲荷神社,まつやまいなりじんじゃ,福岡県福岡市早良区西新2-24-20,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2856/
-,少童神社・天満宮,わたつみじんじゃ・てんまんぐう,福岡県福岡市早良区室見4-3,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2857/
-,将軍神社,しょうぐんじんじゃ,福岡県福岡市早良区小田部1-24-3,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2858/
-,重留寶満神社,しげどめほうまんじんじゃ,福岡県福岡市早良区重留4-5-21,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2859/
-,室見神社,むろみじんじゃ,福岡県福岡市早良区小田部4-9-12,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2860/
-,式部神社,しきぶじんじゃ,福岡県福岡市早良区次郎丸4-1-7,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2861/
-,海神社,うみじんじゃ,福岡県福岡市早良区西油山236,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2865/
-,清水天神,しみずてんじん,福岡県福岡市博多区堅粕2,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2951/
-,下竪恵比須神社,しもたてえびすじんじゃ,福岡県福岡市博多区下呉服町10-48,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2952/
-,豊国神社（福岡市博多区）,ほうこくじんじゃ,福岡県福岡市博多区奈良屋町1-17,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2954/
-,黒田稲荷神社,くろだいなりじんじゃ,福岡県福岡市博多区須崎町13-25,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2955/
-,下須崎恵比須神社（福岡市博多区）,しもすざきえびすじんじゃ,福岡県福岡市博多区須崎町13-8,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2956/
-,日吉神社（福岡市博多区）,ひよしじんじゃ,福岡県福岡市博多区山王1-9-3,092-431-5184,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2957/
-,十日恵比須神社,とおかえびすじんじゃ,福岡県福岡市博多区東公園7-1,092-651-1563,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2958/
-,飛来神社,ひらいじんじゃ,福岡県福岡市博多区吉塚3-11-19,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2959/
-,地禄神社（福岡市博多区堅粕）,じろくじんじゃ,福岡県福岡市博多区堅粕4-13-4,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2960/
-,地禄神社（福岡市博多区半道橋）,じろくじんじゃ,福岡県福岡市博多区半道橋1-6,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2961/
式内社（名神大）・官幣小社・別表神社,竈門神社,かまどじんじゃ,福岡県太宰府市大字内山883,092-922-4106,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2820/
-,恋木神社,こいのきじんじゃ,福岡県筑後市水田62-1,0942-53-8625（水田天満宮）,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2821/
-,月読神社,つきよみじんじゃ,福岡県筑後市水田62-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2822/
-,天神社,てんじんじゃ,福岡県筑紫郡那珂川町後野4-9-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2823/
-,天神社,てんじんじゃ,福岡県筑紫郡那珂川町道善大字321,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2824/
-,松木天神社,まつのきてんじんじゃ,福岡県筑紫郡那珂川町松木1-99,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2825/
-,十六神社,じゅうろくじんじゃ,福岡県筑紫郡那珂川町片縄北1-14-16,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2827/
-,御中主神社,みなかぬしじんじゃ,福岡県筑紫郡那珂川町片縄東1-5-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2828/
郷社,現人神社,あらひとじんじゃ,福岡県筑紫郡那珂川町仲3-6-20,092-952-2152,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2829/
-,須賀神社（糟屋郡久山町）,すがじんじゃ,福岡県糟屋郡久山町久原2495,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2833/
-,香椎宮頓宮,かしいぐうとんぐう,福岡県福岡市東区香椎1-23-2,092-681-1001（香椎宮）,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3011/
-,御島神社,みしまじんじゃ,福岡県福岡市東区香椎浜北公園,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3012/
-,古野三寶荒神宮,ふるのさんぼうこうじんぐう,福岡県福岡市東区香椎2-23-12,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3013/
-,金九郎稲荷神社,きんくろういなりじんじゃ,福岡県福岡市東区原田2丁目6-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3014/
-,玉取恵美須社,たまとりえびすじんじゃ,福岡県福岡市東区箱崎1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3015/
-,疫除神社,えきよけじんじゃ,福岡県福岡市東区二又瀬15,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3017/
-,宇佐殿/米山弁財天,うさでん/よねやまべんざいてん,福岡県福岡市東区箱崎1-8-17,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3018/
-,印鑰神社,いんにゃくじんじゃ,福岡県福岡市東区香椎3-24-25,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3019/
-,曰佐住吉神社,おさすみよしじんじゃ,福岡県福岡市南区曰佐1-8-11,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3020/
-,寶満神社（宝満神社）,ほうまんじんじゃ,福岡県福岡市南区横手3-41-25,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3021/
村社,岩崎神社,いわさきじんじゃ,福岡県糟屋郡粕屋町長者原73,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2811/
村社,駕与八幡宮,かよいはちまんぐう,福岡県糟屋郡粕屋町駕与丁3-9-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2812/
-,春日神社,かすがじんじゃ,福岡県筑紫郡那珂川町恵子2-7-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2826/
式内社・村社,古宮八幡宮,こみやはちまんぐう,福岡県田川郡香春町採銅所2611,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2813/
県社・別表神社,水天宮,すいてんぐう,福岡県久留米市瀬下町265,0942-32-3207,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2814/
-,和田八幡宮,わだはちまんぐう,福岡県糟屋郡篠栗町和田674,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2815/
-,田中八幡宮,たなかはちまんぐう,福岡県糟屋郡篠栗町田中60,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2816/
-,須賀神社（福岡県糟屋郡）,すがじんじゃ,福岡県糟屋郡篠栗町篠栗5010,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2817/
-,高田天神社,たかだてんじんじゃ,福岡県糟屋郡篠栗町高田574,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2818/
-,月読神社,つきよみじんじゃ,福岡県筑後市水田62-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2822/
-,木寄神社,きよりじんじゃ,福岡県糟屋郡久山町久原3061,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2831/
-,白山宮,はくさんぐう,福岡県糟屋郡久山町久原188,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2832/
-,須賀神社（糟屋郡久山町）,すがじんじゃ,福岡県糟屋郡久山町久原2495,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2833/
-,審神者神社,さにわじんじゃ,福岡県糟屋郡久山町山田660,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2834/
-,若八幡宮,わかはちまんぐう,福岡県糟屋郡久山町久原3497,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2835/
村社,若宮八幡宮,わかみやはちまんぐう,福岡県糟屋郡久山町山田1863,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2836/
-,山田邑斎宮,やまだのむらいつきのみや,福岡県糟屋郡久山町山田232,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2837/
-,三輪神社,みわじんじゃ,福岡県糟屋郡久山町久原2565,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2838/
-,黒男神社,くろおじんじゃ,福岡県糟屋郡久山町山田1283,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2839/
-,野芥櫛田神社,のけくしだじんじゃ,福岡県福岡市早良区野芥4-24-46,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2843/
-,犬飼大神宮,いぬかいだいじんぐう,福岡県福岡市博多区博多駅南3-11,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2972/
-,千代森神社,ちよもりじんじゃ,福岡県福岡市博多区千代1-31-30,092-632-3530,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2973/
-,歌替天満宮,うたがえてんまんぐう,福岡県福岡市博多区吉塚3-8,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2974/
-,天満宮（福岡市博多区）,てんまんぐう,福岡県福岡市博多区月隈1-7,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2975/
-,宝満宮,ほうまんぐう,福岡県福岡市博多区空港前4-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2976/
-,老松神社（福岡市博多区）,おいまつじんじゃ,福岡県福岡市博多区空港前3-17-11,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2977/
-,牛頭天王八幡宮,こずてんのうはちまんぐう,福岡県福岡市博多区東平尾2-18,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2978/
-,八幡宮,はちまんぐう,福岡県福岡市博多区月隈2-13,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2979/
村社,日吉神社（福岡市博多区立花寺）,ひよしじんじゃ,福岡県福岡市博多区立花寺2-8,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2980/
村社,宝満宮（福岡市博多区金の隈）,ほうまんぐう,福岡県福岡市博多区金の隈1-8,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/2981/
-,和田宝満宮,わだほうまんぐう,福岡県福岡市南区和田3-16-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3022/
-,老松神社（福岡市南区中尾）,おいまつじんじゃ,福岡県福岡市南区中尾2-18,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3023/
-,老松神社（福岡市南区老司）,おいまつじんじゃ,福岡県福岡市南区老司4-6-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3024/
村社,老松神社（福岡市南区屋形原）,おいまつじんじゃ,福岡県福岡市南区屋形原4-22-12,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/fukuoka/3025/
