社格,名前,読み,住所,電話番号,画像,詳細ページのリンク
-,滑石太神宮,なめしたいじんぐう,長崎県長崎市滑石6-1-11,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8368/
-,白髭神社（長崎市伊王島町）,しらひげじんじゃ,長崎県長崎市伊王島町伊王島492,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8367/
式内大社（名神大）・対馬国一宮・旧国幣中社・別表神社,海神神社,わだつみじんじゃ,長崎県対馬市峰町木坂247,0920-83-0137,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/204/
式内大社（名神大）・壱岐国一宮・旧村社,興神社,こうじんじゃ,長崎県壱岐市芦辺町湯岳興触676,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/339/
式内大社（名神大）論社・壱岐国一宮後継社・旧村社,天手長男神社,あめのたながおじんじゃ,長崎県壱岐市郷ノ浦町田中触730,0920-47-5748,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/50/
式内大社（名神大）・壱岐国一宮・旧国幣中社・別表神社,住吉神社 (壱岐市),すみよしじんじゃ,長崎県壱岐市芦辺町住吉東触470,0920-45-3002,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/515/
式内社（名神大）論社、対馬国一宮論社、旧県社,厳原八幡宮神社,いづはらはちまんぐうじんじゃ,長崎県対馬市厳原町中村字清水山６４５,0920-52-0073,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/5721/
旧県社,淵神社,ふちじんじゃ,長崎県長崎市淵町8-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8387/
-,中川八幡神社,なかがわはちまんじんじゃ,長崎県長崎市中川2-9-21,095-825-0685,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8390/
-,伊勢宮,いせのみや,長崎県長崎市伊勢町2-14,095-823-2665,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8391/
-,桜馬場天満神社,さくらばてんまんじんじゃ,長崎県長崎市桜馬場1-4-18,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8392/
-,松嶋稲荷神社,まつしまいなりじんじゃ,長崎県長崎市本河内1-10-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8393/
-,戸石神社,といしじんじゃ,長崎県長崎市戸石町里名1169,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8395/
-,裳着神社,もぎじんじゃ,長崎県長崎市茂木町辻232,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8396/
-,淡島神社（長崎市向町）,あわしまじんじゃ,長崎県長崎市向町313,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8371/
-,愛宕神社（長崎市小江原町）,あたごじんじゃ,長崎県長崎市小江原町1-30-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8365/
-,乙宮神社（長崎市向町）,しきみおとみやじんじゃ,長崎県長崎市向町316,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8366/
-,恵美須神社,えびすじんじゃ,長崎県長崎市飽の浦町5-19,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8418/
-,加茂神社（長崎市大崎町）,かもじんじゃ,長崎県長崎市大崎町570,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8437/
-,住吉神社（長崎市住吉町）,すみよしじんじゃ,長崎県長崎市住吉町13-6,095-844-4007,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8376/
-,白髭神社,しらひげじんじゃ,長崎県長崎市柿泊町1028,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8435/
-,八坂神社（長崎市深堀町）,やさかじんじゃ,長崎県長崎市深堀町2-194,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8417/
-,八幡神社（長崎市岩瀬道町）,はちまんじんじゃ,長崎県長崎市岩瀬道町104,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8434/
-,道盛神社,みちもりじんじゃ,長崎県長崎市樫山町1710,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8388/
-,諏訪神社（長崎市園田町）,すわじんじゃ,長崎県長崎市園田町2533,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8405/
-,塩竃大山祇神社,,長崎県長崎市琴海形上町1260-ロ,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8414/
-,八坂神社（長崎市鍛冶屋町）,やさかじんじゃ,長崎県長崎市鍛冶屋町8-53,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8383/
-,深堀神社,ふかほりじんじゃ,長崎県長崎市深堀町5-181,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8422/
-,大山神社,,長崎県長崎市潮見町693-2,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8423/
-,三社大神社,,長崎県長崎市長浦町840,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8425/
-,熊野神社（県長崎市野母町）,くまのじんじゃ,長崎県長崎市野母町2191,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8426/
-,稲荷神社,いなりＪんんじゃ,長崎県長崎市茂木町949,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8427/
-,八幡神社（長崎市古賀町）,はちまんじんじゃ,長崎県長崎市古賀町1614,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8428/
-,八幡神社（長崎市高浜町）,はちまんじんじゃ,長崎県長崎市高浜町3963,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8429/
-,大神宮神社,,長崎県長崎市三重町1394,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8430/
-,稲荷神社（長崎市水の浦町）,いなりじんじゃ,長崎県長崎市水の浦町105,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8431/
-,五穀神社,ごこくじんじゃ,長崎県長崎市上戸石町1233-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8438/
-,竃神社（長崎市宮摺町）,かまどじんじゃ,長崎県長崎市宮摺町558,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8441/
-,諏訪神社（長崎市相生町）,すわじんじゃ,長崎県長崎市相生町10-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8442/
-,神浦神社（長崎市江川町）,,長崎県長崎市江川町816-817,850-0992,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8450/
-,阿蘇神社（長崎市琴海戸根町）,あそじんじゃ,長崎県長崎市琴海戸根町1262,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8448/
-,壱岐神社,いきじんじゃ,長崎県壱岐市芦辺町瀬戸浦103,0920-45-1276,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/386/
式内大社（名神大）・壱岐国二宮・旧郷社,聖母宮,しょうもぐう,長崎県壱岐市勝本町勝本浦554-2,0920-42-0914,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/471/
国幣中社・別表神社,鎮西大社諏訪神社,ちんぜいたいしゃすわじんじゃ,長崎県長崎市上西山町18-15,095-824-0445,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/529/
旧村社,白鳥神社 (新上五島町),しらとりじんじゃ,長崎県南松浦郡新上五島町間伏郷若山19,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/482/
式内大社（名神大）論社・旧無格社,月讀神社 (壱岐市),つきよみじんじゃ,長崎県壱岐市芦辺町国分東触464,0920-45-3005,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/602/
-,塩釜神社（長崎市琴海形上町）,しおがまじんじゃ,長崎県長崎市琴海形上町1260-ロ,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8443/
-,稲荷神社（長崎市田上）,いなりじんじゃ,長崎県長崎市田上1-6-7,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8401/
-,伊勢宮神社,,長崎県長崎市飽之浦町4-16,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8402/
-,天満神社（長崎市福田本町）,てんまんじんじゃ,長崎県長崎市福田本町1211,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8403/
-,立岩神社,,長崎県長崎市立岩町6-17,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8404/
-,川内神社,,長崎県長崎市川内町429,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8413/
-,戸町神社,とまちじんじゃ,長崎県長崎市戸町2-38,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8406/
-,八坂神社（長崎市宿）,やさかじんじゃ,長崎県長崎市宿町610,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8407/
-,事代主神社,ことしろぬしじんじゃ,長崎県長崎市福田本町1793,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8408/
-,日山神社,ひやまじんじゃ,長崎県長崎市野母町3311,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8409/
-,大山祇神社（長崎市北浦町）,おおやまつみじんじゃ,長崎県長崎市北浦町1758-イ,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8410/
-,天満神社（長崎市網場町）,てんまんじんじゃ,長崎県長崎市網場町1-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8433/
-,岩立神社,いわたてじんじゃ,長崎県長崎市香焼町1061,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8436/
-,五穀神社,ごこくじんじゃ,長崎県長崎市上戸石町1233-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8438/
-,事代主神社（長崎市神浦向町）,ことしろぬしじんじゃ,長崎県長崎市神浦向町10,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8439/
-,脇岬神社,わきみさきじんじゃ,長崎県長崎市脇岬町1944-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8397/
-,甑岩神社,こしきいわじんじゃ,長崎県長崎市飯香浦町3807-イ,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8398/
-,長崎大神宮,ながさきだいじんぐう,長崎県長崎市栄町6-12,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8399/
-,若宮稲荷神社,わかみやいなりじんじゃ,長崎県長崎市伊良林2-10-2,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8400/
-,稲荷神社（長崎市田上）,いなりじんじゃ,長崎県長崎市田上1-6-7,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8401/
-,川内神社,,長崎県長崎市川内町429,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8413/
-,大山祇神社（長崎市竿浦町）,おおやますみじんじゃ,長崎県長崎市竿浦町1006,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8411/
-,金刀比羅神社（長崎市西山）,こんぴらじんじゃ,長崎県長崎市西山1-938,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8412/
-,日吉神社（長崎市飯香浦町）,ひよしじんじゃ,長崎県長崎市飯香浦町東トヲメキ3546,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8415/
-,池島神社（長崎市池島町）,いけしまじんじゃ,長崎県長崎市池島町下大久保1567-乙,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8379/
-,岩屋神社（長崎市岩屋町）,いわやじんじゃ,長崎県長崎市岩屋町798,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8380/
-,左近稲荷神社,,長崎県長崎市西山町2-15-36,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8381/
-,神崎神社,こうざきじんじゃ,長崎県長崎市木鉢町14,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8382/
-,矢上神社,やがみじんじゃ,長崎県長崎市矢上町14-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8384/
-,伊都岐島神社,,長崎県長崎市東琴平1-16-1,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8385/
-,神浦神社,,長崎県長崎市神浦江川町816・817,,https://shrine.mobi/img/photo_usernophoto.gif,https://shrine.mobi/area/kyushu/nagasaki/8386/
